customer_id,store_id,first_name,last_name,email,address_id,create_date
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,2006-02-14
105,1,Dawn,Sullivan,dawn.sullivan@sakilacustomer.org,109,2006-02-14
111,1,Carmen,Owens,carmen.owens@sakilacustomer.org,115,2006-02-14
231,1,Georgia,Jacobs,georgia.jacobs@sakilacustomer.org,235,2006-02-14
321,1,Kevin,Schuler,kevin.schuler@sakilacustomer.org,326,2006-02-14
344,1,Henry,Billingsley,henry.billingsley@sakilacustomer.org,349,2006-02-14
523,1,Harvey,Guajardo,harvey.guajardo@sakilacustomer.org,529,2006-02-14
595,1,Terrence,Gunderson,terrence.gunderson@sakilacustomer.org,601,2006-02-14
108,1,Tracy,Cole,tracy.cole@sakilacustomer.org,112,2006-02-14
142,1,April,Burns,april.burns@sakilacustomer.org,146,2006-02-14
145,1,Lucille,Holmes,lucille.holmes@sakilacustomer.org,149,2006-02-14
152,1,Alicia,Mills,alicia.mills@sakilacustomer.org,156,2006-02-14
464,1,Jerome,Kenyon,jerome.kenyon@sakilacustomer.org,469,2006-02-14
484,1,Roberto,Vu,roberto.vu@sakilacustomer.org,489,2006-02-14
68,1,Nicole,Peterson,nicole.peterson@sakilacustomer.org,72,2006-02-14
141,1,Debbie,Reyes,debbie.reyes@sakilacustomer.org,145,2006-02-14
267,1,Margie,Wade,margie.wade@sakilacustomer.org,272,2006-02-14
340,1,Patrick,Newsom,patrick.newsom@sakilacustomer.org,345,2006-02-14
453,1,Calvin,Martel,calvin.martel@sakilacustomer.org,458,2006-02-14
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,2006-02-14
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,2006-02-14
47,1,Frances,Parker,frances.parker@sakilacustomer.org,51,2006-02-14
129,1,Carrie,Porter,carrie.porter@sakilacustomer.org,133,2006-02-14
389,1,Alan,Kahn,alan.kahn@sakilacustomer.org,394,2006-02-14
434,1,Eddie,Tomlin,eddie.tomlin@sakilacustomer.org,439,2006-02-14
503,1,Angel,Barclay,angel.barclay@sakilacustomer.org,508,2006-02-14
524,1,Jared,Ely,jared.ely@sakilacustomer.org,530,2006-02-14
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,2006-02-14
45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49,2006-02-14
50,1,Diane,Collins,diane.collins@sakilacustomer.org,54,2006-02-14
89,1,Julia,Flores,julia.flores@sakilacustomer.org,93,2006-02-14
242,1,Glenda,Frazier,glenda.frazier@sakilacustomer.org,246,2006-02-14
308,1,Thomas,Grigsby,thomas.grigsby@sakilacustomer.org,313,2006-02-14
332,1,Stephen,Qualls,stephen.qualls@sakilacustomer.org,337,2006-02-14
351,1,Jack,Foust,jack.foust@sakilacustomer.org,356,2006-02-14
357,1,Keith,Rico,keith.rico@sakilacustomer.org,362,2006-02-14
377,1,Howard,Fortner,howard.fortner@sakilacustomer.org,382,2006-02-14
440,1,Bernard,Colby,bernard.colby@sakilacustomer.org,445,2006-02-14
452,1,Tom,Milner,tom.milner@sakilacustomer.org,457,2006-02-14
486,1,Glen,Talbert,glen.talbert@sakilacustomer.org,491,2006-02-14
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,2006-02-14
253,1,Terry,Carlson,terry.carlson@sakilacustomer.org,258,2006-02-14
261,1,Deanna,Byrd,deanna.byrd@sakilacustomer.org,266,2006-02-14
533,1,Jessie,Milam,jessie.milam@sakilacustomer.org,539,2006-02-14
107,1,Florence,Woods,florence.woods@sakilacustomer.org,111,2006-02-14
350,1,Juan,Fraley,juan.fraley@sakilacustomer.org,355,2006-02-14
405,1,Leonard,Schofield,leonard.schofield@sakilacustomer.org,410,2006-02-14
596,1,Enrique,Forsythe,enrique.forsythe@sakilacustomer.org,602,2006-02-14
170,1,Beatrice,Arnold,beatrice.arnold@sakilacustomer.org,174,2006-02-14
309,1,Christopher,Greco,christopher.greco@sakilacustomer.org,314,2006-02-14
368,1,Harry,Arce,harry.arce@sakilacustomer.org,373,2006-02-14
430,1,Ray,Houle,ray.houle@sakilacustomer.org,435,2006-02-14
472,1,Greg,Robins,greg.robins@sakilacustomer.org,477,2006-02-14
119,1,Sherry,Marshall,sherry.marshall@sakilacustomer.org,123,2006-02-14
204,1,Rosemary,Schmidt,rosemary.schmidt@sakilacustomer.org,208,2006-02-14
341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,2006-02-14
385,1,Phillip,Holm,phillip.holm@sakilacustomer.org,390,2006-02-14
386,1,Todd,Tan,todd.tan@sakilacustomer.org,391,2006-02-14
422,1,Melvin,Ellington,melvin.ellington@sakilacustomer.org,427,2006-02-14
240,1,Marlene,Welch,marlene.welch@sakilacustomer.org,244,2006-02-14
421,1,Lee,Hawks,lee.hawks@sakilacustomer.org,426,2006-02-14
482,1,Maurice,Crawley,maurice.crawley@sakilacustomer.org,487,2006-02-14
509,1,Raul,Fortier,raul.fortier@sakilacustomer.org,514,2006-02-14
146,1,Jamie,Rice,jamie.rice@sakilacustomer.org,150,2006-02-14
149,1,Valerie,Black,valerie.black@sakilacustomer.org,153,2006-02-14
337,1,Jerry,Jordon,jerry.jordon@sakilacustomer.org,342,2006-02-14
